,Unnamed: 0,Регион,reg2,reg3,reg4,abon100
65,65,КРАСНОЯРСКИЙ КРАЙ,Красноярский,Красноярский край,24,"13,6"
66,66,ИРКУТСКАЯ ОБЛ.,Иркутская,Иркутская обл.,38,"11,46"
67,67,КЕМЕРОВСКАЯ ОБЛ.,Кемеровская,Кемеровская обл. - Кузбасс,42,"12,65"
68,68,НОВОСИБИРСКАЯ ОБЛ.,Новосибирская,Новосибирская обл.,54,"25,94"
69,69,ОМСКАЯ ОБЛ.,Омская,Омская обл.,55,"13,97"
70,70,ТОМСКАЯ ОБЛ.,Томская,Томская обл.,70,"11,68"
71,71,ЗАБАЙКАЛЬСКИЙ КРАЙ,Забайкальский,Забайкальский край,75,"5,03"
72,72,РЕСП. САХА (ЯКУТИЯ),Саха,Саха (Якутия),14,"9,55"
73,73,ПРИМОРСКИЙ КРАЙ,Приморский,Приморский край,25,"15,86"
74,74,ХАБАРОВСКИЙ КРАЙ,Хабаровский,Хабаровский край,27,"14,85"
75,75,АМУРСКАЯ ОБЛ.,Амурская,Амурская обл.,28,"7,52"
76,76,КАМЧАТСКИЙ КРАЙ,Камчатский,Камчатский край,41,"11,29"
77,77,МАГАДАНСКАЯ ОБЛ.,Магаданская,Магаданская обл.,49,"16,65"
78,78,САХАЛИНСКАЯ ОБЛ.,Сахалинская,Сахалинская обл.,65,"13,01"
79,79,ЕВРЕЙСКАЯ А.О.,Еврейская,Еврейская АО,79,"13,29"
80,80,РЕСПУБЛИКА КРЫМ,Крым,Крым,82,
